bill_id,primary sponsor,bill_title
SB 1108,Curls,Creates procedures for higher education entity participation in Missouri Consolidated Health Care Plan
SB 861,Wieland,Modifies provisions relating to transportation facilities
SB 706,Dixon,"Creates a sales tax exemption for fitness facilities, gyms, and dance studios"
SCR 53,David Sater,Applies to Congress for the calling of an Article V convention of states to propose certain amendments to the United States Constitution which place limits on the federal government
SB 627,Nasheed,Requires each public institution of higher education to develop and implement a policy to advise students and staff on available suicide prevention programs
SB 816,Jill Schupp,Repeals the death penalty
SB 883,Riddle,Requires referrals for out of state abortions to be accompanied by specified printed materials
HB 1780,"Fitzwater, Paul",Specifies that school teacher and employee retirement allowances must not exceed 2.55% of the member's final average salary for each year of service if the member's service is 31 years or more
SB 640,Schatz,Modifies provisions relating to registration of certain motor vehicles
HB 1912,"Hinson, Dave",Changes the law regarding erection of public buildings so that county commissions no longer need to appoint superintendents for that purpose
SCR 55,Holsman,Urges Congress to call an Article V Convention for the purpose of proposing amendments to the United States Constitution
SB 825,Munzlinger,Repeals a section relating to the expiration date of economic subsidies for Missouri qualified fuel ethanol producers
HB 1836,"McGaugh, Joe Don",Modifies provisions related to employer requirements for employee benefits
HB 2238,"Gannon, Elaine",Modifies provisions relating to high school equivalency examinations
SB 1010,Curls,"Changes the ""Farm-to-School Act"" and program to the ""Farm-to-Table Act"" and program and modifies provisions of such program"
SCR 67,Parson,"Condemns California's anti-trade actions relating to eggs, calls on the California legislature to repeal AB 1437, and urges the voters of California to reconsider and repeal Proposition 2"
SB 607,Sater,Requires the Department of Social Services to contract with a third party to verify eligibility for public assistance programs
SB 788,Schatz,Requires that municipalities in the St. Louis County sales tax pool receive at least 40% of the revenue generated inside a given municipality
SB 1014,Dixon,Modifies admissibility of chemical test results in intoxication related proceedings
HB 2551,"Reiboldt, Bill",Creates a new penalty for persons who leave the scene of an accident when a death has occurred
SB 908,Sater,Delineates procedures to be used by pharmacy benefit managers with regards to maximum allowable cost lists
HB 2489,"Pfautsch, Donna",Allows the State Auditor to audit community improvement districts
SB 663,Dixon,Modifies provisions related to criminal offenses
HB 1865,"Dunn, Randy",Authorizes a tax credit for the establishment of full-service grocery stores in food deserts
HB 2552,"Kirkton, Jeanne",Prohibits restraints to be used on offenders during the 2nd or 3rd trimester of pregnancy or for 48-hours post delivery unless extraordinary circumstances exist
HB 1589,"Koenig, Andrew",Authorizes a tax credit for donations to a fund established for the provision of scholarships to foster care children
SB 852,Brown,Designates the Trooper Gary Snodgrass Memorial Bridge
SB 576,Keaveny,Creates the Missouri Uniform Powers of Appointment
HB 1645,"Swan, Kathryn",Modifies the film tax credit program
HB 2423,"Korman, Bart",Modifies provisions relating to the alternative fuel decal fee for plug-in electric hybrid vehicles
HB 2418,"Remole, Tim",Modifies provisions relating to eminent domain power of utilities
SB 1057,Schaaf,Authorizes the conveyance of certain state properties
SB 1033,Pearce,"Designates ""Old Drum"" as the historical dog of the state of Missouri, and designates ""Jim the Wonder Dog"" as Missouri's Wonder Dog"
HB 2236,"Corlew, Kevin",Establishes the Armed Offender Docket Pilot Project within the Jackson County Circuit Court to handle all matters regarding a person accused or convicted of first degree robbery or a firearm offense
SB 1139,Shalonn Curls,Designates the John Jordan 'Buck' O'Neil Memorial Bridge
SB 735,Dixon,Modifies laws relating to public defenders
SB 869,Schmitt,"Prohibits the adoption of any tax increment financing from superseding, altering, or reducing sheltered workshop property tax levies"
SB 580,Schaaf,Requires voter or General Assembly approval before the Regional Convention and Sports Complex Authority extends or issues new bonds obligating the state
SCR 50,Nasheed,Designates the month of September as Suicide Prevention Awareness Month
SB 898,Cunningham,Creates and funds the Department of Revenue Technology Fund through an administrative fee for notice of lien processing
SB 619,Wallingford,Requires elder abuse investigators to provide specified written materials to alleged perpetrators
SB 772,Onder,Provides that the state shall not require maintenance of licensure or any form of specialty medical board certification to practice medicine and modifies examination requirements for physicians
SB 662,Dixon,Adopts the Compact for a Balanced Budget
SB 733,Dixon,Authorizes additional circuit judges for certain circuits when indicated by a judicial performance report and repeals provisions regarding the appointment of a janitor-messenger
SB 858,Romine,"Suspends state agency activities relating to the Clean Power Plan until a certain stay is lifted, and requires the Department of Natural Resources to submit an extension for submitting a final plan to the EPA upon the Clean Power Plan being upheld in federal court"
SB 798,Kraus,Requires the Department of Revenue to pay the taxpayers' attorneys' fees in income tax cases when the taxpayer receives a favorable judgement
SB 734,Dixon,Allows sheriffs and deputies to assist in other counties throughout the state
SB 853,Brown,Creates requirements for co-payments and notice of insurance coverage for occupational therapy
SB 851,Brown,Allows qualified motorcycle operators to operate motorcycles and motortricycles without protective headgear under certain conditions
SB 575,Schaefer,Phases out the St. Louis City earnings tax
SB 871,Wallingford,Modifies provisions relating to emergency communications services
SB 792,Richard,Repeals certain provisions relating to products liability civil actions
