bill_id,bill_title,date,action
SB 706,"Creates a sales tax exemption for fitness facilities, gyms, and dance studios",5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 706-Dixon
SCR 53,Applies to Congress for the calling of an Article V convention of states to propose certain amendments to the United States Constitution which place limits on the federal government,5/9/16 0:00,"Resolutions Calendar - Reported from Committee--SCRs 53 & 44-Schaefer, with SCS"
SB 627,Requires each public institution of higher education to develop and implement a policy to advise students and staff on available suicide prevention programs,5/9/16 0:00,H Calendar Senate Bills for Third Reading
SB 816,Repeals the death penalty,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 816-Wieland, et al"
SB 883,Requires referrals for out of state abortions to be accompanied by specified printed materials,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 883-Riddle
SB 804,Adds the element of advertising to the crimes of sexual trafficking of a child and trafficking for the purposes of sexual exploitation,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SCR 55,Urges Congress to call an Article V Convention for the purpose of proposing amendments to the United States Constitution,5/9/16 0:00,Resolutions Calendar - Reported from Committee--SCR 55-Holsman
SB 825,Repeals a section relating to the expiration date of economic subsidies for Missouri qualified fuel ethanol producers,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 825-Munzlinger, with SA 1 (pending)"
SB 1010,"Changes the ""Farm-to-School Act"" and program to the ""Farm-to-Table Act"" and program and modifies provisions of such program",5/9/16 0:00,"Informal Calendar S Bills for Perfection--SBs 1010, 958 & 878-Curls, with SCS"
SB 1014,Modifies admissibility of chemical test results in intoxication related proceedings,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1014-Dixon
SB 908,Delineates procedures to be used by pharmacy benefit managers with regards to maximum allowable cost lists,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 908-Sater, with SCS"
SB 1033,"Designates ""Old Drum"" as the historical dog of the state of Missouri, and designates ""Jim the Wonder Dog"" as Missouri's Wonder Dog",5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1033-Pearce
SB 580,Requires voter or General Assembly approval before the Regional Convention and Sports Complex Authority extends or issues new bonds obligating the state,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 580-Schaaf, with SCS & SA 2 (pending)"
SB 898,Creates and funds the Department of Revenue Technology Fund through an administrative fee for notice of lien processing,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 898-Cunningham
SB 772,Provides that the state shall not require maintenance of licensure or any form of specialty medical board certification to practice medicine and modifies examination requirements for physicians,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 772-Onder, with SCS"
